               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11196,            0.028138,                   0,           0.0024224,             0.50382,           0.0096854,           0.0022846,            0.070487,            0.011715,                   0,              0.0721,              0.0031,              0.0031
                   1,            0.086708,            0.025295,                   0,             0.06606,              0.1374,            0.026337,           0.0064395,            0.063626,            0.010702,                   0,            0.043238,           0.0062376,           0.0062376
                   2,            0.078118,             0.02357,                   0,             0.23547,             0.17557,             0.11483,            0.034199,            0.057136,           0.0097383,                   0,            0.014312,           0.0093119,           0.0093119
                   3,            0.073057,            0.024049,                   0,             0.20757,             0.21374,             0.14355,            0.041076,            0.053945,           0.0094609,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.067509,            0.024187,                   0,             0.35386,             0.35878,             0.24225,            0.095943,            0.045716,            0.012085,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.064945,            0.019699,                   0,             0.33689,             0.35878,             0.25131,            0.094602,            0.043806,            0.011601,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.060319,            0.019719,                   0,             0.36684,             0.25191,             0.23414,            0.083839,            0.052259,           0.0099881,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.058326,            0.018518,                   0,             0.37918,             0.29771,              0.2615,             0.10837,            0.044204,            0.010183,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.05822,            0.019714,                   0,             0.36091,             0.43511,             0.35217,             0.14926,            0.041015,           0.0088575,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.056515,            0.019543,                   0,             0.44924,             0.35878,             0.34189,             0.13745,            0.041879,           0.0087462,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.055734,            0.018425,                   0,             0.44271,             0.35878,              0.3724,             0.16188,            0.041196,           0.0083335,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051852,            0.016542,                   0,             0.59101,             0.40458,             0.40059,             0.19958,            0.041397,           0.0079864,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.052376,            0.017819,                   0,             0.48815,             0.49618,             0.45927,             0.21317,            0.038598,           0.0080487,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.051393,            0.017465,                   0,             0.51968,             0.38931,             0.41969,             0.19956,            0.040987,           0.0082377,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.053099,            0.018074,                   0,             0.47605,             0.38931,             0.38458,             0.17452,            0.037303,           0.0085346,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.050301,            0.017315,                   0,             0.59729,             0.43511,             0.47077,             0.20949,            0.041484,            0.007903,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.052235,            0.018214,                   0,             0.54783,             0.42748,             0.41305,             0.19452,            0.037854,           0.0086286,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.048097,            0.017166,                   0,             0.41569,             0.33672,             0.35951,             0.16459,            0.043041,           0.0090334,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.049755,            0.018361,                   0,             0.51751,             0.40122,             0.44365,             0.23528,            0.036421,            0.008057,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.047184,            0.017239,                   0,              0.5377,             0.35878,             0.44173,             0.21995,            0.036409,           0.0081855,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.047766,            0.017301,                   0,             0.52121,             0.47328,             0.48127,              0.2434,            0.035682,           0.0081443,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.048459,            0.017845,                   0,             0.54963,             0.43511,             0.45291,             0.23654,            0.036871,           0.0088402,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.047556,            0.018086,                   0,             0.45792,             0.40458,             0.40916,             0.21206,            0.040064,           0.0085725,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.046542,            0.018342,                   0,             0.53128,             0.47328,             0.49587,             0.26768,            0.033922,           0.0082349,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.047927,            0.018612,                   0,             0.49546,              0.3898,             0.38218,             0.18618,            0.039872,           0.0089645,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.046703,            0.016814,                   0,             0.55042,             0.50468,             0.51515,             0.26137,            0.035514,           0.0076607,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.04549,             0.01634,                   0,             0.64072,             0.42748,              0.5019,             0.24611,            0.039229,           0.0077358,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.045483,            0.017599,                   0,              0.5634,             0.47328,             0.49348,             0.26234,            0.036336,           0.0078546,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.045374,            0.016263,                   0,             0.54484,             0.45038,             0.44802,             0.24309,            0.035409,           0.0082628,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.044462,            0.015823,                   0,              0.6005,             0.50382,             0.50402,             0.24784,             0.03591,           0.0080203,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.04559,            0.016213,                   0,             0.58842,             0.44275,             0.48092,             0.25181,            0.035371,           0.0082766,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.045325,            0.018194,                   0,             0.63251,             0.41221,             0.46426,             0.22761,            0.035337,           0.0085089,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.042187,            0.016989,                   0,             0.55843,             0.41985,             0.48018,             0.25637,            0.035853,           0.0081938,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.041897,            0.017306,                   0,             0.56055,             0.46565,              0.5199,             0.27975,            0.034728,           0.0081322,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042896,             0.01597,                   0,             0.54686,             0.51145,             0.51719,             0.26599,            0.033752,           0.0082999,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.041435,            0.018125,                   0,             0.61282,             0.43511,             0.51138,             0.26102,            0.034111,           0.0080758,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.04238,            0.018071,                   0,             0.47576,             0.55725,             0.49377,             0.27022,            0.033592,           0.0082975,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.043386,            0.016442,                   0,             0.52109,             0.38931,             0.41134,             0.23363,            0.036057,           0.0087782,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.042573,            0.016789,                   0,             0.46773,             0.47328,              0.4454,             0.23733,            0.035146,           0.0082679,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.042057,            0.015699,                   0,             0.64658,             0.43511,             0.50128,             0.26529,            0.035102,           0.0080575,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.043229,            0.016856,                   0,             0.59163,             0.51908,             0.52691,               0.289,            0.033765,           0.0078441,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.042112,             0.01666,                   0,             0.59565,             0.42748,             0.47779,              0.2463,            0.035842,           0.0084181,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.041378,            0.014957,                   0,             0.54901,             0.46565,             0.49782,             0.27057,            0.033611,           0.0081802,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040295,            0.016487,                   0,             0.49831,             0.22901,             0.26099,             0.12558,            0.044124,            0.010516,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.039842,            0.015143,                   0,             0.58247,             0.48855,             0.47557,             0.25716,            0.033762,           0.0083452,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040463,            0.015842,                   0,             0.63181,             0.41919,             0.47183,             0.24236,            0.034893,           0.0083137,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.040747,            0.014938,                   0,             0.56121,             0.52672,             0.50792,             0.26908,            0.035266,           0.0079035,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040358,            0.014057,                   0,              0.5822,              0.5106,             0.49655,             0.25142,            0.037318,           0.0081462,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.040793,             0.01649,                   0,             0.62321,             0.41985,             0.47518,             0.24488,            0.037135,            0.008458,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.039624,            0.015396,                   0,             0.59017,             0.51667,             0.53812,             0.28392,            0.034485,           0.0079028,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.039567,            0.015651,                   0,             0.56067,             0.51908,              0.5142,             0.28466,            0.034507,           0.0084389,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.038543,            0.015405,                   0,             0.60922,             0.46413,              0.4933,             0.27565,            0.033978,           0.0084238,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.03906,            0.015923,                   0,             0.59521,             0.53435,             0.52991,             0.26738,            0.035664,           0.0082732,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.03887,            0.015979,                   0,             0.57533,             0.52743,             0.53433,             0.26506,            0.036125,           0.0080181,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039416,             0.01555,                   0,              0.4999,             0.50382,             0.48842,             0.25092,            0.036499,           0.0082217,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.039768,            0.016411,                   0,             0.63624,             0.45038,             0.49628,              0.2783,            0.033187,           0.0084677,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.037947,             0.01475,                   0,             0.61907,             0.49618,             0.52857,             0.28469,            0.034324,           0.0080867,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.038811,            0.015517,                   0,             0.66498,             0.48855,             0.53221,             0.29512,            0.034083,           0.0081203,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037583,            0.014672,                   0,             0.58864,             0.49156,              0.5185,             0.28258,            0.034342,           0.0081817,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.036531,            0.015153,                   0,             0.64773,             0.45802,             0.52241,             0.26814,            0.034825,           0.0083504,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.036213,            0.013667,                   0,              0.6494,             0.48092,             0.51865,              0.2761,            0.033999,           0.0083284,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03617,             0.01519,                   0,             0.54458,             0.56489,             0.52234,             0.28915,            0.033268,           0.0084625,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.036401,            0.016373,                   0,             0.58236,             0.51145,             0.51925,             0.28271,            0.034877,           0.0082297,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.036535,            0.014237,                   0,             0.64553,             0.47265,              0.4844,             0.26878,            0.034536,           0.0088422,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036046,            0.013542,                   0,             0.58306,             0.50174,             0.49431,             0.25969,            0.034481,            0.008522,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.036938,            0.014854,                   0,             0.61543,             0.51308,              0.5072,             0.27147,            0.034846,           0.0083005,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.03606,            0.015166,                   0,             0.62005,             0.50382,             0.50693,             0.26277,            0.036801,           0.0083807,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.036099,            0.013602,                   0,             0.61778,             0.50382,             0.50481,             0.25516,            0.036176,           0.0084573,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.035478,            0.014551,                   0,             0.65902,             0.50164,             0.51361,             0.26443,             0.03701,           0.0082997,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.034897,            0.013439,                   0,             0.57266,             0.46034,             0.49644,             0.27333,            0.034598,            0.008552,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.036074,            0.014301,                   0,             0.55223,             0.53435,             0.52278,              0.2795,            0.034064,           0.0084927,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03502,             0.01388,                   0,             0.68379,             0.50382,             0.54638,             0.29965,             0.03279,           0.0084194,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.033699,            0.013401,                   0,             0.58636,             0.49778,             0.52057,             0.26989,            0.032654,            0.008687,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.033702,            0.012021,                   0,             0.67085,             0.52672,             0.54026,             0.28326,            0.033262,           0.0089231,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.034131,            0.013357,                   0,             0.63529,             0.54962,             0.55833,             0.29759,            0.033323,           0.0084895,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.034245,            0.012823,                   0,             0.65906,             0.51145,              0.5609,             0.30555,            0.033352,           0.0085108,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.034459,            0.014312,                   0,             0.69529,             0.51908,             0.55815,             0.30534,            0.033569,           0.0084608,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.033185,            0.014008,                   0,             0.56527,             0.56489,             0.55789,             0.29703,             0.03353,           0.0085074,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.033418,            0.013351,                   0,              0.5253,             0.56489,             0.51787,               0.279,            0.032937,           0.0089962,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.03341,            0.013889,                   0,             0.57502,             0.56809,              0.5163,             0.28186,             0.03276,           0.0090599,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.032361,            0.014065,                   0,             0.64315,             0.56489,             0.54448,             0.28432,             0.03372,           0.0087692,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.033966,            0.012631,                   0,             0.62606,             0.55725,              0.5462,             0.28615,            0.034924,           0.0087389,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.032967,            0.013222,                   0,             0.63855,             0.56489,             0.56141,             0.30905,              0.0337,           0.0084295,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.031122,            0.012481,                   0,             0.63644,             0.53454,             0.54824,             0.30204,            0.032571,           0.0086614,                   0,            0.001882,            0.001882,            0.001882
                  84,              0.0317,             0.01352,                   0,             0.60342,             0.55725,             0.53941,             0.29882,            0.033245,           0.0086281,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.032655,            0.012501,                   0,             0.66823,             0.52672,             0.56035,             0.30239,            0.033537,           0.0088353,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.03216,            0.013551,                   0,              0.6292,             0.50382,             0.54028,             0.28587,            0.034456,           0.0090612,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.031357,            0.012336,                   0,             0.61155,             0.56484,             0.56202,             0.29448,            0.034302,           0.0089274,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.032725,            0.012724,                   0,             0.57781,             0.54962,             0.53698,             0.29765,            0.033275,           0.0088456,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.031541,            0.013166,                   0,             0.59267,             0.54962,             0.54419,             0.28907,            0.034619,           0.0087167,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.030711,             0.01266,                   0,             0.61295,             0.51908,             0.54623,             0.30131,            0.033154,           0.0090178,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.031331,            0.013504,                   0,             0.59901,             0.57252,             0.54693,             0.30098,            0.032869,           0.0089858,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.030398,            0.013059,                   0,             0.58531,             0.56489,             0.54982,             0.30493,            0.032719,           0.0088566,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.031471,            0.013691,                   0,             0.61737,             0.54198,             0.55328,             0.30801,            0.032601,            0.008737,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.031528,            0.013046,                   0,             0.62363,             0.56489,             0.56093,             0.30927,            0.032865,            0.008608,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.031534,            0.012795,                   0,             0.64894,             0.53435,             0.56453,             0.31476,            0.032903,           0.0087273,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.031794,            0.014111,                   0,              0.6169,             0.51908,             0.54305,             0.29256,            0.033634,           0.0088586,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.031073,            0.012304,                   0,             0.59009,             0.57144,             0.55016,             0.29826,            0.033706,           0.0088588,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.031076,             0.01395,                   0,             0.62063,             0.53435,             0.55249,             0.29858,            0.033763,           0.0088435,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.029512,            0.012028,                   0,             0.64838,             0.51145,             0.54712,             0.29356,            0.033798,           0.0088739,                   0,            0.000298,            0.000298,            0.000298
